"","iso3c","date","iso2c","country","date_ct","granularity","GB.XPD.RSDV.GD.ZS","IP.JRN.ARTC.SC","NY.GDP.PCAP.PP.CD","SP.POP.TOTL"
"129","AUT","2013","AT","Austria",2013-01-01,"annual",2.96325,12557.6,47924.5810382519,8479375
"130","AUT","2014","AT","Austria",2014-01-01,"annual",3.06054,12900.5,48814.7995527174,8541575
"131","AZE","2005","AZ","Azerbaijan",2005-01-01,"annual",0.21994,351,7169.15043103855,8391850
"132","AZE","2006","AZ","Azerbaijan",2006-01-01,"annual",0.17165,288.4,9830.16260573868,8484550
"133","AZE","2007","AZ","Azerbaijan",2007-01-01,"annual",0.17006,417.9,12477.3846859443,8581300
"134","AZE","2008","AZ","Azerbaijan",2008-01-01,"annual",0.16554,475,13799.7861400733,8763400
"135","AZE","2009","AZ","Azerbaijan",2009-01-01,"annual",0.24976,616.2,14900.5086642522,8947243
"136","AZE","2010","AZ","Azerbaijan",2010-01-01,"annual",0.21848,605.3,15627.6056198817,9054332
"137","AZE","2011","AZ","Azerbaijan",2011-01-01,"annual",0.21084,645.9,15754.1523626148,9173082
"138","AZE","2012","AZ","Azerbaijan",2012-01-01,"annual",0.21724,684,16180.8871503048,9295784
"139","AZE","2013","AZ","Azerbaijan",2013-01-01,"annual",0.21141,481.1,17171.7613655507,9416801
"140","AZE","2014","AZ","Azerbaijan",2014-01-01,"annual",0.20991,399.6,17573.5067317757,9535079
"141","BDI","2005","BI","Burundi",2005-01-01,"annual",NA,2.8,644.786602674403,7423289
"142","BDI","2006","BI","Burundi",2006-01-01,"annual",NA,4.6,677.382665500247,7675338
"143","BDI","2007","BI","Burundi",2007-01-01,"annual",0.2003,5.5,704.439858877756,7939573
"144","BDI","2008","BI","Burundi",2008-01-01,"annual",0.15426,2.5,729.462783308925,8212264
"145","BDI","2009","BI","Burundi",2009-01-01,"annual",0.14436,3.8,735.701234336554,8489031
"146","BDI","2010","BI","Burundi",2010-01-01,"annual",0.1378,12.5,748.380657602419,8766930
"147","BDI","2011","BI","Burundi",2011-01-01,"annual",0.12128,8.5,771.509423734821,9043508
"148","BDI","2012","BI","Burundi",2012-01-01,"annual",NA,10.7,793.080192119077,9319710
"149","BDI","2013","BI","Burundi",2013-01-01,"annual",NA,16.3,818.28521331237,9600186
"150","BDI","2014","BI","Burundi",2014-01-01,"annual",NA,14.9,844.419632695106,9891790
"151","BEL","2005","BE","Belgium",2005-01-01,"annual",1.78507,12871.1,33332.3313498604,10478617
"152","BEL","2006","BE","Belgium",2006-01-01,"annual",1.81239,13035.8,35390.8535279226,10547958
"153","BEL","2007","BE","Belgium",2007-01-01,"annual",1.84259,13798.4,36866.2656285925,10625700
"154","BEL","2008","BE","Belgium",2008-01-01,"annual",1.92449,14481.3,38133.5014644659,10709973
"155","BEL","2009","BE","Belgium",2009-01-01,"annual",1.98413,15055.4,38001.9909227332,10796493
"156","BEL","2010","BE","Belgium",2010-01-01,"annual",2.05137,15409.4,40091.0099912907,10895586
"157","BEL","2011","BE","Belgium",2011-01-01,"annual",2.15594,16087.9,41248.725342013,11047744
"158","BEL","2012","BE","Belgium",2012-01-01,"annual",2.35915,16971.3,42354.6314854002,11128246
"159","BEL","2013","BE","Belgium",2013-01-01,"annual",2.43512,17225.6,43519.7779201761,11182817
"160","BEL","2014","BE","Belgium",2014-01-01,"annual",2.46249,17499.2,44626.9868578109,11209057
"161","BEN","2005","BJ","Benin",2005-01-01,"annual",NA,55.6,1545.69826491077,7982225
"162","BEN","2006","BJ","Benin",2006-01-01,"annual",NA,75,1608.7728866525,8216896
"163","BEN","2007","BJ","Benin",2007-01-01,"annual",NA,87.1,1701.20707313632,8454791
"164","BEN","2008","BJ","Benin",2008-01-01,"annual",NA,92.4,1768.8035979427,8696916
"165","BEN","2009","BJ","Benin",2009-01-01,"annual",NA,122,1773.05329769007,8944706
"166","BEN","2010","BJ","Benin",2010-01-01,"annual",NA,108.9,1781.98706633659,9199259
